,Date,Crimes
164,2012-06-13,1037.5300006794964
165,2012-06-14,1037.8573240616795
166,2012-06-15,1038.9216969806585
167,2012-06-16,1038.1285193322406
168,2012-06-17,1038.301954744141
169,2012-06-18,1040.764728532902
170,2012-06-19,1042.8483997372327
171,2012-06-20,1045.070828331312
172,2012-06-21,1046.1141588710748
173,2012-06-22,1046.2705157534506
174,2012-06-23,1049.6610568755596
175,2012-06-24,1056.2395750752921
176,2012-06-25,1054.8640512808688
177,2012-06-26,1048.5014383111527
178,2012-06-27,1055.5980882918996
179,2012-06-28,1054.67575709527
180,2012-06-29,1055.0221522571082
181,2012-06-30,1053.2079322294749
182,2012-07-01,1050.8669732043552
183,2012-07-02,1048.2603682982422
184,2012-07-03,1044.46143740513
185,2012-07-04,1045.205032956558
186,2012-07-05,1044.5899567373913
187,2012-07-06,1044.23703821149
188,2012-07-07,1040.8196108631926
189,2012-07-08,1040.5656753267137
190,2012-07-09,1039.0309859792767
191,2012-07-10,1036.3865093206887
192,2012-07-11,1037.605698883306
193,2012-07-12,1037.9627398128857
194,2012-07-13,1034.7019638043691
195,2012-07-14,1033.8973249677024
196,2012-07-15,1031.9392964732858
197,2012-07-16,1032.8697365738542
198,2012-07-17,1030.1389159437156
199,2012-07-18,1030.8465423905207
200,2012-07-19,1034.023194183313
201,2012-07-20,1032.8679245282815
202,2012-07-21,1025.5183582866905
203,2012-07-22,1021.1886792452627
204,2012-07-23,1018.3549570771503
205,2012-07-24,1011.3417291444679
206,2012-07-25,1008.3569050261414
207,2012-07-26,1005.344877573651
208,2012-07-27,1006.4521280209999
209,2012-07-28,1004.8907110013615
210,2012-07-29,999.4175179505564
211,2012-07-30,993.9366916577756
212,2012-07-31,986.6261749982815
213,2012-08-01,984.9618564406697
214,2012-08-02,984.1254615053373
215,2012-08-03,982.7315907494877
216,2012-08-04,980.8282633808044
217,2012-08-05,979.5071689052784
218,2012-08-06,975.1400031710602
219,2012-08-07,967.4204851751829
220,2012-08-08,969.6836621440838
221,2012-08-09,971.2149312555017
222,2012-08-10,974.226641600017
223,2012-08-11,974.7421006138111
224,2012-08-12,971.0371922353655
225,2012-08-13,968.3117624408061
226,2012-08-14,963.0130920292454
227,2012-08-15,964.4708826926804
228,2012-08-16,966.7443203696381
229,2012-08-17,965.447076943966
230,2012-08-18,963.3838818546095
231,2012-08-19,962.4275748034872
232,2012-08-20,958.8812657138135
233,2012-08-21,954.2442184420748
234,2012-08-22,955.0702394165023
235,2012-08-23,955.9883349566052
236,2012-08-24,957.9786178622202
237,2012-08-25,956.8834854696404
238,2012-08-26,953.5073954109755
239,2012-08-27,952.8553761126902
240,2012-08-28,954.2583976986832
241,2012-08-29,958.1702416815593
242,2012-08-30,958.9763981063933
243,2012-08-31,957.0110987791152
244,2012-09-01,954.7202654646574
245,2012-09-02,954.7644114249284
246,2012-09-03,951.0775555505033
247,2012-09-04,946.9447099594365
248,2012-09-05,944.9964212099746
249,2012-09-06,940.347776846569
250,2012-09-07,938.7547169811135
251,2012-09-08,934.1511699019045
252,2012-09-09,933.1158576638019
253,2012-09-10,934.1759496251145
254,2012-09-11,934.6664477111415
255,2012-09-12,936.3007769145208
256,2012-09-13,934.4546648848033
257,2012-09-14,931.5297741738021
258,2012-09-15,925.1360619719403
259,2012-09-16,922.072776280305
260,2012-09-17,915.0623570182607
261,2012-09-18,914.848490339514
262,2012-09-19,915.4991959047587
263,2012-09-20,915.7827583863552
264,2012-09-21,913.2432218170104
265,2012-09-22,908.0810890393714
266,2012-09-23,906.3000520962923
267,2012-09-24,903.3640399555869
268,2012-09-25,899.4297039570367
269,2012-09-26,899.5122426328843
270,2012-09-27,907.4183560216359
271,2012-09-28,906.1900835805841
272,2012-09-29,901.2729393644072
273,2012-09-30,902.0168520238105
274,2012-10-01,897.7682846723417
275,2012-10-02,901.2343201431338
276,2012-10-03,904.0204987655259
277,2012-10-04,907.341593241052
278,2012-10-05,907.1613400076834
279,2012-10-06,903.6026863575439
280,2012-10-07,898.3155450859412
281,2012-10-08,898.2632222700222
282,2012-10-09,899.7553738476345
283,2012-10-10,906.4182654193572
284,2012-10-11,908.9110059117806
285,2012-10-12,911.0580987111642
286,2012-10-13,910.3095426849803
287,2012-10-14,907.7401300142519
288,2012-10-15,903.2443769960636
289,2012-10-16,900.2756347821969
290,2012-10-17,902.8620806813111
291,2012-10-18,904.1974676662938
292,2012-10-19,902.5985186527262
293,2012-10-20,900.9266121542777
294,2012-10-21,897.8618768261844
295,2012-10-22,895.8035969104446
296,2012-10-23,892.8769168044398
297,2012-10-24,894.7927925887158
298,2012-10-25,896.0728668825843
299,2012-10-26,892.798477881701
300,2012-10-27,896.2024054904803
301,2012-10-28,902.0858909601399
302,2012-10-29,903.843733719885
303,2012-10-30,902.5943509479085
304,2012-10-31,902.8659539287233
305,2012-11-01,899.8701669346805
306,2012-11-02,894.4957983193101
307,2012-11-03,890.9257740832004
308,2012-11-04,885.4699087181867
309,2012-11-05,880.5339871797601
